ensembl_gene_id	external_gene_name	gene_biotype	go_id	name_1006
WBGene00020296	rrp-8	protein_coding	GO:0005634; GO:0016740; GO:0006325; GO:0005730; GO:0032259; GO:0008168; GO:0006364; GO:0042149; GO:0035064; GO:0008757; GO:0033553; GO:0005677; GO:0000183; GO:0046015	nucleus; transferase activity; chromatin organization; nucleolus; methylation; methyltransferase activity; rRNA processing; cellular response to glucose starvation; methylated histone binding; S-adenosylmethionine-dependent methyltransferase activity; rDNA heterochromatin; chromatin silencing complex; rDNA heterochromatin formation; regulation of transcription by glucose
WBGene00020297	nog-1	protein_coding	GO:0005525	GTP binding
WBGene00020298	T07A9.10	protein_coding	GO:0005886; GO:0007269; GO:0016192; GO:0006886; GO:0098793; GO:0006904; GO:0030141; GO:0019905	plasma membrane; neurotransmitter secretion; vesicle-mediated transport; intracellular protein transport; presynapse; vesicle docking involved in exocytosis; secretory granule; syntaxin binding
WBGene00020299	T07A9.12	protein_coding	GO:0016020; GO:0005783; GO:0006874	membrane; endoplasmic reticulum; cellular calcium ion homeostasis
WBGene00020300	ssna-1	protein_coding		
WBGene00020301	gid-2	protein_coding	GO:0004842; GO:0061630; GO:0043161	ubiquitin-protein transferase activity; ubiquitin protein ligase activity; proteasome-mediated ubiquitin-dependent protein catabolic process
WBGene00020302	T07D1.3	protein_coding	GO:0016020	membrane
WBGene00020304		pseudogene		
WBGene00020305	T07D3.2	protein_coding		
WBGene00020306		pseudogene		
WBGene00020307	T07D3.4	protein_coding	GO:0006486	protein glycosylation
WBGene00020308		pseudogene		
WBGene00020309		pseudogene		
WBGene00020311	T07D3.9	protein_coding	GO:0005739; GO:0047617; GO:0052689; GO:0006637; 	mitochondrion; acyl-CoA hydrolase activity; carboxylic ester hydrolase activity; acyl-CoA metabolic process; 
WBGene00020313	T07E3.2	protein_coding	GO:0016020	membrane
WBGene00020314	T07E3.3	protein_coding	GO:0005739; GO:0004364; GO:0006749; GO:0098869; GO:0005777; GO:0004602	mitochondrion; glutathione transferase activity; glutathione metabolic process; cellular oxidant detoxification; peroxisome; glutathione peroxidase activity
WBGene00020315	T07E3.4	protein_coding	GO:0005515	protein binding
WBGene00020316	brc-2	protein_coding		
WBGene00020317	pdf-1	protein_coding		
WBGene00020318	T07F8.1	protein_coding		
WBGene00020319	npr-31	protein_coding	GO:0016020; GO:0007186; GO:0004930	membrane; G protein-coupled receptor signaling pathway; G protein-coupled receptor activity
WBGene00020320	T07F8.4	protein_coding	GO:0005634; GO:0000122; GO:0005654; GO:0003714; GO:0042826	nucleus; negative regulation of transcription by RNA polymerase II; nucleoplasm; transcription corepressor activity; histone deacetylase binding
WBGene00020321	T07F12.1	protein_coding	GO:0016787; GO:0005737; GO:0005829; GO:0004721; GO:0003993; GO:0016791	hydrolase activity; cytoplasm; cytosol; phosphoprotein phosphatase activity; acid phosphatase activity; phosphatase activity
WBGene00020322	T07F12.2	protein_coding		
WBGene00020323	arrd-23	protein_coding		
WBGene00020324	T07F12.4	protein_coding	GO:0005737; GO:0000166; GO:0005524; GO:0016310; GO:0016301; GO:0004672; GO:0004674; GO:0005829; GO:0042594; GO:0006914; GO:0000407; GO:0005776; GO:0000045; GO:0000422; GO:0034045; GO:0044805; GO:0034727; GO:0061709; GO:0048675; GO:0010508; GO:0006468	cytoplasm; nucleotide binding; ATP binding; phosphorylation; kinase activity; protein kinase activity; protein serine/threonine kinase activity; cytosol; response to starvation; autophagy; phagophore assembly site; autophagosome; autophagosome assembly; autophagy of mitochondrion; phagophore assembly site membrane; late nucleophagy; piecemeal microautophagy of the nucleus; reticulophagy; axon extension; positive regulation of autophagy; protein phosphorylation
WBGene00020325	bath-46	protein_coding	GO:0005515	protein binding
WBGene00020326	math-38	protein_coding	GO:0005515	protein binding
WBGene00020327	clec-21	protein_coding		
WBGene00020328	clec-20	protein_coding		
WBGene00020329	bath-26	protein_coding	GO:0005515	protein binding
WBGene00020330	cest-16	protein_coding	GO:0016787; 	hydrolase activity; 
WBGene00020333	sre-12	protein_coding	GO:0016020; GO:0007606	membrane; sensory perception of chemical stimulus
WBGene00020334	epg-7	protein_coding	GO:0000045; GO:0000422	autophagosome assembly; autophagy of mitochondrion
WBGene00020335	ttr-30	protein_coding	GO:0009986	cell surface
WBGene00020338		pseudogene		
WBGene00020339	ttr-59	protein_coding	; GO:0009986	; cell surface
WBGene00020340	T08B1.1	protein_coding	GO:0016020; GO:0055085; GO:0022857	membrane; transmembrane transport; transmembrane transporter activity
WBGene00020341	T08B1.4	protein_coding	; GO:0006629	; lipid metabolic process
WBGene00020342	fbxa-201	protein_coding		
WBGene00020343	acs-3	protein_coding	GO:0006631; GO:0004467	fatty acid metabolic process; long-chain fatty acid-CoA ligase activity
WBGene00020345	T08B2.4	protein_coding		
WBGene00020346	rbm-5	protein_coding	GO:0003723; GO:0003676; 	RNA binding; nucleic acid binding; 
