ensembl_gene_id	external_gene_name	gene_biotype	go_id	name_1006
WBGene00000001	aap-1	protein_coding		
WBGene00000002	aat-1	protein_coding	GO:0016020; GO:0022857; GO:0055085	membrane; transmembrane transporter activity; transmembrane transport
WBGene00000003	aat-2	protein_coding	GO:0016020; GO:0022857; GO:0055085	membrane; transmembrane transporter activity; transmembrane transport
WBGene00000004	aat-3	protein_coding	GO:0016020; GO:0022857; GO:0055085	membrane; transmembrane transporter activity; transmembrane transport
WBGene00000005	aat-4	protein_coding	GO:0016020; GO:0022857; GO:0055085; 	membrane; transmembrane transporter activity; transmembrane transport; 
WBGene00000006	aat-5	protein_coding	GO:0016020; GO:0022857; GO:0055085; 	membrane; transmembrane transporter activity; transmembrane transport; 
WBGene00000007	aat-6	protein_coding	GO:0016020; GO:0022857; GO:0055085	membrane; transmembrane transporter activity; transmembrane transport
WBGene00000008	aat-7	protein_coding	GO:0016020; GO:0022857; GO:0055085	membrane; transmembrane transporter activity; transmembrane transport
WBGene00000009	aat-8	protein_coding	GO:0016020; GO:0022857; GO:0055085	membrane; transmembrane transporter activity; transmembrane transport
WBGene00000010	aat-9	protein_coding	GO:0016020; GO:0022857; GO:0055085	membrane; transmembrane transporter activity; transmembrane transport
WBGene00000012	abf-1	protein_coding	GO:0098542	defense response to other organism
WBGene00000013	abf-2	protein_coding	GO:0098542	defense response to other organism
WBGene00000014	abf-3	protein_coding		
WBGene00000015	abf-4	protein_coding		
WBGene00000016	abf-5	protein_coding		
WBGene00000017	abf-6	protein_coding		
WBGene00000018	abl-1	protein_coding	GO:0005524; GO:0005515; GO:0006468; GO:0004672; GO:0004713; GO:0004715	ATP binding; protein binding; protein phosphorylation; protein kinase activity; protein tyrosine kinase activity; non-membrane spanning protein tyrosine kinase activity
WBGene00000019	abt-1	protein_coding	GO:0005524	ATP binding
WBGene00000020	abt-2	protein_coding	GO:0005524; GO:0016020; GO:0055085; GO:0016887; GO:0140359	ATP binding; membrane; transmembrane transport; ATP hydrolysis activity; ABC-type transporter activity
WBGene00000021		pseudogene		
WBGene00000022	abt-4	protein_coding	GO:0005524; GO:0016020; GO:0055085; GO:0016887; GO:0140359	ATP binding; membrane; transmembrane transport; ATP hydrolysis activity; ABC-type transporter activity
WBGene00000023	abt-5	protein_coding	GO:0005524; GO:0016020; GO:0055085; GO:0016887; GO:0140359	ATP binding; membrane; transmembrane transport; ATP hydrolysis activity; ABC-type transporter activity
WBGene00000024	abu-1	protein_coding		
WBGene00000025	abu-2	protein_coding		
WBGene00000026		pseudogene		
WBGene00000027	abu-4	protein_coding		
WBGene00000028	abu-5	protein_coding		
WBGene00000029	abu-6	protein_coding		
WBGene00000030	abu-7	protein_coding		
WBGene00000031	abu-8	protein_coding		
WBGene00000032	abu-9	protein_coding		
WBGene00000033	abu-10	protein_coding		
WBGene00000034	abu-11	protein_coding		
WBGene00000035	ace-1	protein_coding	GO:0004104	cholinesterase activity
WBGene00000036	ace-2	protein_coding	GO:0004104	cholinesterase activity
WBGene00000037	ace-3	protein_coding	GO:0004104	cholinesterase activity
WBGene00000038	ace-4	protein_coding	GO:0004104	cholinesterase activity
WBGene00000039	acn-1	protein_coding	GO:0016020; GO:0006508; GO:0008237; GO:0008241	membrane; proteolysis; metallopeptidase activity; peptidyl-dipeptidase activity
WBGene00000040	aco-1	protein_coding		
WBGene00000041	aco-2	protein_coding	GO:0051539; GO:0006099; GO:0003994	4 iron, 4 sulfur cluster binding; tricarboxylic acid cycle; aconitate hydratase activity
WBGene00000042	acr-2	protein_coding	GO:0016020; GO:0004888; GO:0005216; GO:0006811; GO:0022848; GO:0045211; GO:0034220; GO:0005230	membrane; transmembrane signaling receptor activity; monoatomic ion channel activity; monoatomic ion transport; acetylcholine-gated monoatomic cation-selective channel activity; postsynaptic membrane; monoatomic ion transmembrane transport; extracellular ligand-gated monoatomic ion channel activity
WBGene00000043	acr-3	protein_coding	GO:0016020; GO:0004888; GO:0005216; GO:0006811; GO:0022848; GO:0045211; GO:0034220; GO:0005230	membrane; transmembrane signaling receptor activity; monoatomic ion channel activity; monoatomic ion transport; acetylcholine-gated monoatomic cation-selective channel activity; postsynaptic membrane; monoatomic ion transmembrane transport; extracellular ligand-gated monoatomic ion channel activity
WBGene00000044	acr-5	protein_coding	GO:0016020; GO:0004888; GO:0005216; GO:0006811; GO:0034220; GO:0005230	membrane; transmembrane signaling receptor activity; monoatomic ion channel activity; monoatomic ion transport; monoatomic ion transmembrane transport; extracellular ligand-gated monoatomic ion channel activity
WBGene00000045	acr-6	protein_coding	GO:0016020; GO:0004888; GO:0005216; GO:0006811; GO:0022848; GO:0045211; GO:0034220; GO:0005230	membrane; transmembrane signaling receptor activity; monoatomic ion channel activity; monoatomic ion transport; acetylcholine-gated monoatomic cation-selective channel activity; postsynaptic membrane; monoatomic ion transmembrane transport; extracellular ligand-gated monoatomic ion channel activity
WBGene00000046	acr-7	protein_coding	GO:0016020; GO:0004888; GO:0005216; GO:0006811; GO:0034220; GO:0005230	membrane; transmembrane signaling receptor activity; monoatomic ion channel activity; monoatomic ion transport; monoatomic ion transmembrane transport; extracellular ligand-gated monoatomic ion channel activity
WBGene00000047	acr-8	protein_coding	GO:0016020; GO:0004888; GO:0005216; GO:0006811; GO:0022848; GO:0045211; GO:0034220; GO:0005230	membrane; transmembrane signaling receptor activity; monoatomic ion channel activity; monoatomic ion transport; acetylcholine-gated monoatomic cation-selective channel activity; postsynaptic membrane; monoatomic ion transmembrane transport; extracellular ligand-gated monoatomic ion channel activity
WBGene00000048	acr-9	protein_coding	GO:0016020; GO:0004888; GO:0005216; GO:0006811; GO:0022848; GO:0045211; GO:0034220; GO:0005230	membrane; transmembrane signaling receptor activity; monoatomic ion channel activity; monoatomic ion transport; acetylcholine-gated monoatomic cation-selective channel activity; postsynaptic membrane; monoatomic ion transmembrane transport; extracellular ligand-gated monoatomic ion channel activity
WBGene00000049	acr-10	protein_coding	GO:0016020; GO:0004888; GO:0005216; GO:0006811; GO:0022848; GO:0045211; GO:0034220; GO:0005230	membrane; transmembrane signaling receptor activity; monoatomic ion channel activity; monoatomic ion transport; acetylcholine-gated monoatomic cation-selective channel activity; postsynaptic membrane; monoatomic ion transmembrane transport; extracellular ligand-gated monoatomic ion channel activity
WBGene00000050	acr-11	protein_coding	GO:0016020; GO:0004888; GO:0005216; GO:0006811; GO:0022848; GO:0045211; GO:0034220; GO:0005230	membrane; transmembrane signaling receptor activity; monoatomic ion channel activity; monoatomic ion transport; acetylcholine-gated monoatomic cation-selective channel activity; postsynaptic membrane; monoatomic ion transmembrane transport; extracellular ligand-gated monoatomic ion channel activity
WBGene00000051	acr-12	protein_coding	GO:0016020; GO:0004888; GO:0005216; GO:0006811; GO:0022848; GO:0045211; GO:0034220; GO:0005230	membrane; transmembrane signaling receptor activity; monoatomic ion channel activity; monoatomic ion transport; acetylcholine-gated monoatomic cation-selective channel activity; postsynaptic membrane; monoatomic ion transmembrane transport; extracellular ligand-gated monoatomic ion channel activity
WBGene00000053	acr-14	protein_coding	GO:0016020; GO:0004888; GO:0005216; GO:0006811; GO:0022848; GO:0045211; GO:0034220; GO:0005230	membrane; transmembrane signaling receptor activity; monoatomic ion channel activity; monoatomic ion transport; acetylcholine-gated monoatomic cation-selective channel activity; postsynaptic membrane; monoatomic ion transmembrane transport; extracellular ligand-gated monoatomic ion channel activity
WBGene00000054	acr-15	protein_coding	GO:0016020; GO:0004888; GO:0005216; GO:0006811; GO:0022848; GO:0045211; GO:0034220; GO:0005230	membrane; transmembrane signaling receptor activity; monoatomic ion channel activity; monoatomic ion transport; acetylcholine-gated monoatomic cation-selective channel activity; postsynaptic membrane; monoatomic ion transmembrane transport; extracellular ligand-gated monoatomic ion channel activity
WBGene00000055	acr-16	protein_coding	GO:0016020; GO:0004888; GO:0005216; GO:0006811; GO:0022848; GO:0045211; GO:0034220; GO:0005230	membrane; transmembrane signaling receptor activity; monoatomic ion channel activity; monoatomic ion transport; acetylcholine-gated monoatomic cation-selective channel activity; postsynaptic membrane; monoatomic ion transmembrane transport; extracellular ligand-gated monoatomic ion channel activity
WBGene00000056	acr-17	protein_coding	; GO:0016020; GO:0004888; GO:0005216; GO:0006811; GO:0034220; GO:0005230	; membrane; transmembrane signaling receptor activity; monoatomic ion channel activity; monoatomic ion transport; monoatomic ion transmembrane transport; extracellular ligand-gated monoatomic ion channel activity
WBGene00000057	acr-18	protein_coding	GO:0016020; GO:0004888; GO:0005216; GO:0006811; GO:0034220; GO:0005230	membrane; transmembrane signaling receptor activity; monoatomic ion channel activity; monoatomic ion transport; monoatomic ion transmembrane transport; extracellular ligand-gated monoatomic ion channel activity
WBGene00000058	acr-19	protein_coding	GO:0016020; GO:0004888; GO:0005216; GO:0006811; GO:0022848; GO:0045211; GO:0034220; GO:0005230	membrane; transmembrane signaling receptor activity; monoatomic ion channel activity; monoatomic ion transport; acetylcholine-gated monoatomic cation-selective channel activity; postsynaptic membrane; monoatomic ion transmembrane transport; extracellular ligand-gated monoatomic ion channel activity
WBGene00000059	acr-20	protein_coding	GO:0016020; GO:0004888; GO:0005216; GO:0006811; GO:0034220; GO:0005230	membrane; transmembrane signaling receptor activity; monoatomic ion channel activity; monoatomic ion transport; monoatomic ion transmembrane transport; extracellular ligand-gated monoatomic ion channel activity
WBGene00000060	acr-21	protein_coding	GO:0016020; GO:0004888; GO:0005216; GO:0006811; GO:0022848; GO:0045211; GO:0034220; GO:0005230	membrane; transmembrane signaling receptor activity; monoatomic ion channel activity; monoatomic ion transport; acetylcholine-gated monoatomic cation-selective channel activity; postsynaptic membrane; monoatomic ion transmembrane transport; extracellular ligand-gated monoatomic ion channel activity
WBGene00000061	lgc-11	protein_coding	GO:0016020; GO:0004888; GO:0005216; GO:0006811; GO:0034220; GO:0005230	membrane; transmembrane signaling receptor activity; monoatomic ion channel activity; monoatomic ion transport; monoatomic ion transmembrane transport; extracellular ligand-gated monoatomic ion channel activity
WBGene00000062	acr-23	protein_coding	GO:0016020; GO:0004888; GO:0005216; GO:0006811; GO:0034220; GO:0005230	membrane; transmembrane signaling receptor activity; monoatomic ion channel activity; monoatomic ion transport; monoatomic ion transmembrane transport; extracellular ligand-gated monoatomic ion channel activity
WBGene00000063	act-1	protein_coding		
WBGene00000064	act-2	protein_coding		
WBGene00000065	act-3	protein_coding		
WBGene00000066	act-4	protein_coding		
WBGene00000067	act-5	protein_coding		
WBGene00000068	acy-1	protein_coding	GO:0035556; GO:0009190	intracellular signal transduction; cyclic nucleotide biosynthetic process
WBGene00000069	acy-2	protein_coding	GO:0035556; GO:0009190; GO:0016849	intracellular signal transduction; cyclic nucleotide biosynthetic process; phosphorus-oxygen lyase activity
WBGene00000070	acy-3	protein_coding	GO:0035556; GO:0009190	intracellular signal transduction; cyclic nucleotide biosynthetic process
WBGene00000071	acy-4	protein_coding	GO:0035556; GO:0009190; GO:0005886; GO:0016849; GO:0004016; GO:0006171	intracellular signal transduction; cyclic nucleotide biosynthetic process; plasma membrane; phosphorus-oxygen lyase activity; adenylate cyclase activity; cAMP biosynthetic process
WBGene00000072	add-1	protein_coding		
WBGene00000073	add-2	protein_coding		
WBGene00000074	adm-2	protein_coding	GO:0006508; GO:0004222; GO:0008237	proteolysis; metalloendopeptidase activity; metallopeptidase activity
WBGene00000075	adm-4	protein_coding	GO:0006508; GO:0004222; GO:0008237	proteolysis; metalloendopeptidase activity; metallopeptidase activity
WBGene00000079	adr-1	protein_coding	GO:0003723; GO:0006396; GO:0004000; 	RNA binding; RNA processing; adenosine deaminase activity; 
WBGene00000080	adr-2	protein_coding	GO:0003723; GO:0006396; GO:0004000	RNA binding; RNA processing; adenosine deaminase activity
WBGene00000081	ads-1	protein_coding	GO:0003824; GO:0050660; GO:0071949; GO:0008610; GO:0008609	catalytic activity; flavin adenine dinucleotide binding; FAD binding; lipid biosynthetic process; alkylglycerone-phosphate synthase activity
WBGene00000082	adt-1	protein_coding	GO:0006508; GO:0004222; GO:0008237	proteolysis; metalloendopeptidase activity; metallopeptidase activity
WBGene00000083	adt-2	protein_coding	GO:0006508; GO:0004222; GO:0008237; 	proteolysis; metalloendopeptidase activity; metallopeptidase activity; 
WBGene00000084	aex-1	protein_coding		
WBGene00000085	aex-2	protein_coding	GO:0016020; GO:0007186; GO:0004930; GO:0007218; GO:0008188	membrane; G protein-coupled receptor signaling pathway; G protein-coupled receptor activity; neuropeptide signaling pathway; neuropeptide receptor activity
WBGene00000086	aex-3	protein_coding		
WBGene00000088	aex-5	protein_coding	GO:0006508; GO:0008236; GO:0004252	proteolysis; serine-type peptidase activity; serine-type endopeptidase activity
WBGene00000089	aex-6	protein_coding	GO:0003924; GO:0005525	GTPase activity; GTP binding
WBGene00000090	age-1	protein_coding	GO:0016301; GO:0046854; GO:0048015; 	kinase activity; phosphatidylinositol phosphate biosynthetic process; phosphatidylinositol-mediated signaling; 
WBGene00000092	ags-3	protein_coding	GO:0005515; GO:0030695; 	protein binding; GTPase regulator activity; 
WBGene00000093	agt-1	protein_coding	GO:0003824; GO:0006281; GO:0003908	catalytic activity; DNA repair; methylated-DNA-[protein]-cysteine S-methyltransferase activity
WBGene00000094	agt-2	protein_coding		
WBGene00000095	aha-1	protein_coding	GO:0006355; GO:0005634; GO:0003700; GO:0005737; GO:0005667; GO:0046983	regulation of DNA-templated transcription; nucleus; DNA-binding transcription factor activity; cytoplasm; transcription regulator complex; protein dimerization activity
WBGene00000096	ahr-1	protein_coding	GO:0006355; GO:0005515; GO:0046983	regulation of DNA-templated transcription; protein binding; protein dimerization activity
WBGene00000097	aip-1	protein_coding	GO:0008270	zinc ion binding
WBGene00000098	air-1	protein_coding	GO:0005524; GO:0006468; GO:0004672	ATP binding; protein phosphorylation; protein kinase activity
WBGene00000099	air-2	protein_coding	GO:0005524; GO:0006468; GO:0004672	ATP binding; protein phosphorylation; protein kinase activity
WBGene00000100	ajm-1	protein_coding	GO:0045216	cell-cell junction organization
WBGene00000101	aka-1	protein_coding	GO:0046872	metal ion binding
WBGene00000102	akt-1	protein_coding	GO:0005524; GO:0006468; GO:0004674; GO:0004672	ATP binding; protein phosphorylation; protein serine/threonine kinase activity; protein kinase activity
WBGene00000103	akt-2	protein_coding	GO:0005524; GO:0006468; GO:0004674; GO:0004672	ATP binding; protein phosphorylation; protein serine/threonine kinase activity; protein kinase activity
WBGene00000105	alg-1	protein_coding	GO:0005515; GO:0003676	protein binding; nucleic acid binding
WBGene00000106	alg-2	protein_coding	GO:0005515; GO:0003676	protein binding; nucleic acid binding
WBGene00000107	alh-1	protein_coding	GO:0016491; GO:0016620	oxidoreductase activity; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
WBGene00000108	alh-2	protein_coding	GO:0016491; GO:0016620	oxidoreductase activity; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
WBGene00000109	alh-3	protein_coding	GO:0003824; GO:0016491; GO:0005737; GO:0016620; GO:0009058; GO:0016155; GO:0006730; GO:0009258	catalytic activity; oxidoreductase activity; cytoplasm; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; biosynthetic process; formyltetrahydrofolate dehydrogenase activity; one-carbon metabolic process; 10-formyltetrahydrofolate catabolic process
WBGene00000110	alh-4	protein_coding	GO:0016491; GO:0016620; GO:0006081	oxidoreductase activity; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; cellular aldehyde metabolic process
WBGene00000111	alh-5	protein_coding	GO:0016491; GO:0016620; GO:0006081	oxidoreductase activity; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; cellular aldehyde metabolic process
WBGene00000112	alh-6	protein_coding	GO:0016491; GO:0016620; GO:0003842; GO:0010133	oxidoreductase activity; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; 1-pyrroline-5-carboxylate dehydrogenase activity; proline catabolic process to glutamate
WBGene00000113	alh-7	protein_coding	GO:0016491; GO:0016620	oxidoreductase activity; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
WBGene00000114	alh-8	protein_coding	GO:0016491; GO:0016620; GO:0004491	oxidoreductase activity; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; methylmalonate-semialdehyde dehydrogenase (acylating) activity
WBGene00000115	alh-9	protein_coding	GO:0016491; GO:0016620; GO:0004029	oxidoreductase activity; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; aldehyde dehydrogenase (NAD+) activity
WBGene00000116	alh-10	protein_coding	GO:0016491; GO:0016620	oxidoreductase activity; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
WBGene00000117	alh-11	protein_coding	GO:0016491; GO:0016620	oxidoreductase activity; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
WBGene00000118	alh-12	protein_coding	GO:0016491; GO:0016620	oxidoreductase activity; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
WBGene00000120	aly-1	protein_coding	GO:0003676	nucleic acid binding
WBGene00000121	aly-2	protein_coding	GO:0003676	nucleic acid binding
WBGene00000122	aly-3	protein_coding	GO:0003676; 	nucleic acid binding; 
WBGene00000123	ama-1	protein_coding	GO:0003677; GO:0003899; GO:0006351; GO:0006366	DNA binding; DNA-directed 5'-3' RNA polymerase activity; DNA-templated transcription; transcription by RNA polymerase II
WBGene00000133	amt-1	protein_coding	GO:0016020; GO:0008519; GO:0072488	membrane; ammonium transmembrane transporter activity; ammonium transmembrane transport
WBGene00000134	amt-2	protein_coding	GO:0016020; GO:0008519; GO:0072488	membrane; ammonium transmembrane transporter activity; ammonium transmembrane transport
WBGene00000135	amt-3	protein_coding	GO:0016020; GO:0008519; GO:0072488	membrane; ammonium transmembrane transporter activity; ammonium transmembrane transport
WBGene00000136	amt-4	protein_coding	GO:0016020; GO:0008519; GO:0072488	membrane; ammonium transmembrane transporter activity; ammonium transmembrane transport
WBGene00000137	amx-1	protein_coding	GO:0005515; GO:0016491	protein binding; oxidoreductase activity
WBGene00000138	amx-2	protein_coding	GO:0016491	oxidoreductase activity
WBGene00000139	amx-3	protein_coding	GO:0016491	oxidoreductase activity
WBGene00000140	anc-1	protein_coding	GO:0005515; GO:0016020; GO:0051087	protein binding; membrane; chaperone binding
WBGene00000142	aos-1	protein_coding	GO:0008641	ubiquitin-like modifier activating enzyme activity
WBGene00000143	apc-2	protein_coding	GO:0006511; GO:0031625	ubiquitin-dependent protein catabolic process; ubiquitin protein ligase binding
WBGene00000144	apc-10	protein_coding	GO:0031145; GO:0005680	anaphase-promoting complex-dependent catabolic process; anaphase-promoting complex
WBGene00000145	apc-11	protein_coding	GO:0008270; GO:0061630; GO:0031145; GO:0005680; GO:0097602	zinc ion binding; ubiquitin protein ligase activity; anaphase-promoting complex-dependent catabolic process; anaphase-promoting complex; cullin family protein binding
WBGene00000146	ape-1	protein_coding	GO:0005515; GO:0042981; GO:0002039	protein binding; regulation of apoptotic process; p53 binding
WBGene00000147	aph-1	protein_coding	GO:0016020; GO:0016485; GO:0043085	membrane; protein processing; positive regulation of catalytic activity
WBGene00000148	aph-2	protein_coding	GO:0016020; GO:0016485	membrane; protein processing
WBGene00000149	apl-1	protein_coding	GO:0016020; GO:0008201; GO:0046914	membrane; heparin binding; transition metal ion binding
WBGene00000150	apm-1	protein_coding	GO:0006886; GO:0016192; GO:0030131	intracellular protein transport; vesicle-mediated transport; clathrin adaptor complex
WBGene00000151	apn-1	protein_coding	GO:0003677; GO:0008270; GO:0006281	DNA binding; zinc ion binding; DNA repair
WBGene00000155	app-1	protein_coding	GO:0070006	metalloaminopeptidase activity
WBGene00000156	apr-1	protein_coding	GO:0008013; GO:0030178	beta-catenin binding; negative regulation of Wnt signaling pathway
WBGene00000157	aps-2	protein_coding	GO:0006886; GO:0016192; GO:0030117; GO:0015031; GO:0035615; GO:0072583; GO:0030122	intracellular protein transport; vesicle-mediated transport; membrane coat; protein transport; clathrin adaptor activity; clathrin-dependent endocytosis; AP-2 adaptor complex
WBGene00000158	apg-1	protein_coding	GO:0006886; GO:0016192; GO:0030117; GO:0005794; GO:0030121	intracellular protein transport; vesicle-mediated transport; membrane coat; Golgi apparatus; AP-1 adaptor complex
WBGene00000159	aps-1	protein_coding	GO:0006886; GO:0016192; GO:0030117; GO:0015031; GO:0035615; GO:0030121	intracellular protein transport; vesicle-mediated transport; membrane coat; protein transport; clathrin adaptor activity; AP-1 adaptor complex
WBGene00000160	apb-1	protein_coding	GO:0006886; GO:0016192; GO:0030117; GO:0015031; GO:0030131; GO:0030276	intracellular protein transport; vesicle-mediated transport; membrane coat; protein transport; clathrin adaptor complex; clathrin binding
WBGene00000161	apa-2	protein_coding	GO:0006886; GO:0016192; GO:0030117; GO:0015031; GO:0030131; GO:0035615; GO:0072583; GO:0030122	intracellular protein transport; vesicle-mediated transport; membrane coat; protein transport; clathrin adaptor complex; clathrin adaptor activity; clathrin-dependent endocytosis; AP-2 adaptor complex
WBGene00000162	apd-3	protein_coding	GO:0006886; GO:0016192; GO:0030117; GO:0015031; GO:0030123	intracellular protein transport; vesicle-mediated transport; membrane coat; protein transport; AP-3 adaptor complex
WBGene00000163	apb-3	protein_coding	GO:0006886; GO:0016192; GO:0030117; GO:0030123	intracellular protein transport; vesicle-mediated transport; membrane coat; AP-3 adaptor complex
WBGene00000164	apm-3	protein_coding	GO:0006886; GO:0016192; GO:0030131	intracellular protein transport; vesicle-mediated transport; clathrin adaptor complex
WBGene00000165	aps-3	protein_coding	GO:0006886; GO:0016192; GO:0030117; GO:0015031; GO:0030123; GO:0006896	intracellular protein transport; vesicle-mediated transport; membrane coat; protein transport; AP-3 adaptor complex; Golgi to vacuole transport
WBGene00000166	apt-9	protein_coding	GO:0006886; GO:0031267; GO:0035091; GO:0043130; GO:0005802	intracellular protein transport; small GTPase binding; phosphatidylinositol binding; ubiquitin binding; trans-Golgi network
WBGene00000168	apx-1	protein_coding	GO:0016020; GO:0007154; 	membrane; cell communication; 
WBGene00000169	aqp-1	protein_coding	GO:0016020; GO:0055085; GO:0015267	membrane; transmembrane transport; channel activity
WBGene00000170	aqp-2	protein_coding	GO:0016020; GO:0055085; GO:0015267	membrane; transmembrane transport; channel activity
WBGene00000171	aqp-3	protein_coding	GO:0016020; GO:0055085; GO:0015267	membrane; transmembrane transport; channel activity
WBGene00000172	aqp-4	protein_coding	GO:0016020; GO:0055085; GO:0015267	membrane; transmembrane transport; channel activity
WBGene00000173	aqp-5	protein_coding	GO:0016020; GO:0055085; GO:0015267	membrane; transmembrane transport; channel activity
WBGene00000174	aqp-6	protein_coding	GO:0016020; GO:0055085; GO:0015267	membrane; transmembrane transport; channel activity
WBGene00000175	aqp-7	protein_coding	GO:0016020; GO:0055085; GO:0015267	membrane; transmembrane transport; channel activity
WBGene00000176	aqp-8	protein_coding	GO:0016020; GO:0055085; GO:0015267; 	membrane; transmembrane transport; channel activity; 
WBGene00000177	aqp-9	protein_coding		
WBGene00000178	aqp-10	protein_coding		
WBGene00000179	aqp-11	protein_coding		
WBGene00000180	arc-1	protein_coding	GO:0008270; GO:0003924; GO:0005525	zinc ion binding; GTPase activity; GTP binding
WBGene00000181	ard-1	protein_coding	GO:0016491; 	oxidoreductase activity; 
WBGene00000182	arf-1	protein_coding	GO:0003924; GO:0005525	GTPase activity; GTP binding
WBGene00000183	arf-5	protein_coding	GO:0003924; GO:0005525	GTPase activity; GTP binding
WBGene00000184	arf-6	protein_coding	GO:0003924; GO:0005525	GTPase activity; GTP binding
WBGene00000185	arg-1	protein_coding	GO:0016020; GO:0007154	membrane; cell communication
WBGene00000186	ark-1	protein_coding	GO:0005524; GO:0005515; GO:0006468; GO:0004672; GO:0004713	ATP binding; protein binding; protein phosphorylation; protein kinase activity; protein tyrosine kinase activity
WBGene00000187	arl-1	protein_coding	GO:0003924; GO:0005525	GTPase activity; GTP binding
WBGene00000188	arl-3	protein_coding	GO:0003924; GO:0005525	GTPase activity; GTP binding
WBGene00000189	arl-5	protein_coding	GO:0003924; GO:0005525	GTPase activity; GTP binding
WBGene00000190	warf-1	protein_coding	GO:0003924; GO:0005525	GTPase activity; GTP binding
WBGene00000191		pseudogene		
WBGene00000192	arl-8	protein_coding	GO:0003924; GO:0005525; GO:0015031	GTPase activity; GTP binding; protein transport
WBGene00000193	arl-6	protein_coding	GO:0003924; GO:0005525	GTPase activity; GTP binding
WBGene00000195	arr-1	protein_coding	GO:0007165	signal transduction
WBGene00000196	aars-1	protein_coding	GO:0005524; GO:0005737; GO:0003676; GO:0004812; GO:0000166; GO:0043039; GO:0004813; GO:0006419; 	ATP binding; cytoplasm; nucleic acid binding; aminoacyl-tRNA ligase activity; nucleotide binding; tRNA aminoacylation; alanine-tRNA ligase activity; alanyl-tRNA aminoacylation; 
WBGene00000197	aars-2	protein_coding	GO:0005524; GO:0005737; GO:0003676; GO:0004812; GO:0000166; GO:0043039; GO:0004813; GO:0006419	ATP binding; cytoplasm; nucleic acid binding; aminoacyl-tRNA ligase activity; nucleotide binding; tRNA aminoacylation; alanine-tRNA ligase activity; alanyl-tRNA aminoacylation
WBGene00000198	art-1	protein_coding	GO:0005515; GO:0016627; GO:0006629	protein binding; oxidoreductase activity, acting on the CH-CH group of donors; lipid metabolic process
WBGene00000199	arx-1	protein_coding		
WBGene00000200	arx-2	protein_coding		
WBGene00000201	arx-3	protein_coding	GO:0005515; GO:0015629; GO:0034314; GO:0005885	protein binding; actin cytoskeleton; Arp2/3 complex-mediated actin nucleation; Arp2/3 protein complex
WBGene00000202	exos-4.2	protein_coding		
WBGene00000203	arx-5	protein_coding	GO:0005856; GO:0030833; GO:0034314; GO:0005885	cytoskeleton; regulation of actin filament polymerization; Arp2/3 complex-mediated actin nucleation; Arp2/3 protein complex
WBGene00000204	arx-6	protein_coding	GO:0015629; GO:0034314; GO:0005885; GO:0030041	actin cytoskeleton; Arp2/3 complex-mediated actin nucleation; Arp2/3 protein complex; actin filament polymerization
WBGene00000205	arx-7	protein_coding	GO:0015629; GO:0030833; GO:0034314; GO:0005885	actin cytoskeleton; regulation of actin filament polymerization; Arp2/3 complex-mediated actin nucleation; Arp2/3 protein complex
WBGene00000206	asb-1	protein_coding	GO:0015986; GO:0015078; GO:0000276	proton motive force-driven ATP synthesis; proton transmembrane transporter activity; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
WBGene00000207	asb-2	protein_coding	GO:0015986; GO:0015078; GO:0000276	proton motive force-driven ATP synthesis; proton transmembrane transporter activity; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
WBGene00000208	trip-4	protein_coding	GO:0008270; GO:0006355; GO:0005634	zinc ion binding; regulation of DNA-templated transcription; nucleus
WBGene00000209	asg-1	protein_coding	GO:0015986; GO:0015078; GO:0000276	proton motive force-driven ATP synthesis; proton transmembrane transporter activity; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
WBGene00000210	asg-2	protein_coding	GO:0015986; GO:0015078; GO:0000276	proton motive force-driven ATP synthesis; proton transmembrane transporter activity; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
WBGene00000211	asm-1	protein_coding	GO:0016787; GO:0004767; GO:0006685	hydrolase activity; sphingomyelin phosphodiesterase activity; sphingomyelin catabolic process
WBGene00000212	asm-2	protein_coding	GO:0016787; GO:0006629; GO:0004767; GO:0006685	hydrolase activity; lipid metabolic process; sphingomyelin phosphodiesterase activity; sphingomyelin catabolic process
WBGene00000213	asm-3	protein_coding	GO:0016787; GO:0004767; GO:0006685	hydrolase activity; sphingomyelin phosphodiesterase activity; sphingomyelin catabolic process
